 ,Area,Mean,StdDev,Min,Max,XM,YM,Circ.,Median,AR,Round,Solidity
1,8.793,10717.641,2957.162,5159,17790,2.937,4.043,0.129,10706,3.577,0.280,0.465
2,2.410,10124.938,2733.499,5167,14601,5.012,0.883,0.350,10095,2.736,0.366,0.712
3,1.182,8243.888,2037.643,5160,12918,15.298,1.283,0.434,7937,3.176,0.315,0.756
4,2.673,9789.784,3331.710,5156,17146,11.699,2.277,0.284,9098,1.887,0.530,0.596
5,1.419,8598.223,3139.399,5160,14710,9.271,1.569,0.482,7334,1.545,0.647,0.851
6,0.532,6480.252,1173.743,5159,9442,15.120,2.701,0.458,6061,3.921,0.255,0.853
7,2.161,9916.358,2596.750,5164,14999,13.722,4.276,0.286,10169,5.850,0.171,0.657
8,0.570,11499.248,3953.833,5174,16593,9.837,2.770,0.920,11788,1.242,0.805,0.947
9,1.098,9506.311,2480.300,5164,13511,9.452,3.525,0.429,9705,4.030,0.248,0.775
10,1.679,9213.508,3022.386,5168,15074,7.303,3.893,0.418,8481,2.605,0.384,0.698
11,1.929,8878.296,2753.901,5159,15099,15.029,5.762,0.275,8389,6.810,0.147,0.746
12,2.734,10060.651,3169.123,5158,15884,11.757,5.677,0.214,9878,1.488,0.672,0.691
13,3.382,10827.444,3284.565,5166,17052,7.356,9.568,0.170,10889,11.054,0.090,0.641
14,0.537,12598.862,3895.787,5183,17382,12.515,7.050,0.965,13159,1.070,0.935,0.949
15,0.749,12617.232,4035.475,5185,17852,13.220,7.835,0.770,12518,2.098,0.477,0.950
16,1.468,8727.471,2316.785,5168,13679,16.031,8.618,0.345,8425,4.826,0.207,0.773
17,2.553,11090.427,3566.685,5156,17318,11.693,8.799,0.410,10989,2.133,0.469,0.788
18,1.976,9880.250,3371.793,5157,15636,14.791,11.400,0.224,9490,8.718,0.115,0.730
19,1.498,9106.426,2266.431,5174,13895,0.999,11.710,0.296,9180,2.984,0.335,0.589
20,0.869,9063.590,1933.307,5184,12123,16.648,11.303,0.608,9518,2.959,0.338,0.894
21,0.995,9381.947,3191.758,5172,16117,17.630,12.811,0.614,8530,2.744,0.364,0.909
22,0.903,10030.098,3010.110,5197,15759,15.344,13.115,0.460,9386,3.487,0.287,0.775
23,0.885,6218.996,952.194,5190,9087,0.793,14.333,0.648,5924,1.606,0.623,0.839
24,1.730,7408.088,1544.570,5167,10069,1.356,16.761,0.206,7186,5.364,0.186,0.564
25,1.068,8868.446,1737.365,5167,11678,16.429,16.274,0.348,9369,5.004,0.200,0.686
26,1.258,8903.753,2149.094,5167,13116,12.246,16.469,0.369,8972,3.223,0.310,0.654
27,0.698,8365.433,2574.017,5160,12868,16.618,17.990,0.520,7479,2.478,0.404,0.781
28,0.463,6492.500,844.229,5157,7758,17.964,17.936,0.539,6468,1.469,0.681,0.742
29,4.529,9532.789,2688.366,5157,16144,7.154,20.429,0.140,9305,2.531,0.395,0.479
30,0.849,7065.864,1910.385,5164,12032,18.878,18.974,0.349,6386,2.456,0.407,0.765
31,0.561,7194.384,1105.475,5188,8320,16.526,20.630,0.501,7631,3.589,0.279,0.855
32,0.753,9264.993,2366.621,5179,12758,15.021,22.346,0.527,9487,3.619,0.276,0.904
